GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BOL,Bolivia (Plurinational State of),,1400 [1300‰ÛÒ1500],1400,1300,1500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BIH,Bosnia and Herzegovina,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BWA,Botswana,,8500 [7000‰ÛÒ10 000],8500,7000,10000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,BRA,Brazil,,53 000 [42 000‰ÛÒ65 000],53000,42000,65000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,BRN,Brunei Darussalam,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,BGR,Bulgaria,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BFA,Burkina Faso,,2400 [1600‰ÛÒ3700],2400,1600,3700,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,BDI,Burundi,,1700 [1000‰ÛÒ2800],1700,1000,2800,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,KHM,Cambodia,,880 [780‰ÛÒ990],880,780,990,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CMR,Cameroon,,23 000 [19 000‰ÛÒ28 000],23000,19000,28000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CAN,Canada,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CPV,Cabo Verde,,<200 [<100‰ÛÒ<200],200,100,200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CAF,Central African Republic,,5500 [3500‰ÛÒ8100],5500,3500,8100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,TCD,Chad,,6500 [4000‰ÛÒ9600],6500,4000,9600,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CHL,Chile,,5000 [4000‰ÛÒ5500],5000,4000,5500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,CHN,China,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,COL,Colombia,,6900 [4700‰ÛÒ9100],6900,4700,9100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COM,Comoros,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COG,Congo,,5300 [3000‰ÛÒ9700],5300,3000,9700,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CRI,Costa Rica,,1000 [860‰ÛÒ1200],1000,860,1200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,CIV,CÌ«te d'Ivoire,,17 000 [9100‰ÛÒ32 000],17000,9100,32000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,HRV,Croatia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,CUB,Cuba,,1700 [1300‰ÛÒ2100],1700,1300,2100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,CYP,Cyprus,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,CZE,Czechia,,<500 [<500‰ÛÒ580],500,500,580,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,PRK,Democratic People's Republic of Korea,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,COD,Democratic Republic of the Congo,,19 000 [13 000‰ÛÒ26 000],19000,13000,26000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DNK,Denmark,,<200 [<200‰ÛÒ<200],200,200,200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,DJI,Djibouti,,540 [<500‰ÛÒ790],540,500,790,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,DOM,Dominican Republic,,2700 [1200‰ÛÒ6500],2700,1200,6500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,ECU,Ecuador,,2200 [1200‰ÛÒ4400],2200,1200,4400,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,EGY,Egypt,,3600 [3300‰ÛÒ3900],3600,3300,3900,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,SLV,El Salvador,,700 [530‰ÛÒ870],700,530,870,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GNQ,Equatorial Guinea,,5100 [3100‰ÛÒ8000],5100,3100,8000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,ERI,Eritrea,,580 [<500‰ÛÒ1000],580,500,1000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,EST,Estonia,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,SWZ,Eswatini,,7800 [6900‰ÛÒ8900],7800,6900,8900,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,ETH,Ethiopia,,23 000 [14 000‰ÛÒ40 000],23000,14000,40000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,FJI,Fiji,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FIN,Finland,,<500 [<200‰ÛÒ<500],500,200,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,FRA,France,,6200 [5000‰ÛÒ7500],6200,5000,7500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GAB,Gabon,,2000 [1100‰ÛÒ3900],2000,1100,3900,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GMB,Gambia,,2200 [1500‰ÛÒ3200],2200,1500,3200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,GEO,Georgia,,710 [530‰ÛÒ980],710,530,980,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,DEU,Germany,,2600 [1900‰ÛÒ3200],2600,1900,3200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GHA,Ghana,,20 000 [15 000‰ÛÒ26 000],20000,15000,26000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,GRC,Greece,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,GTM,Guatemala,,2300 [2200‰ÛÒ2400],2300,2200,2400,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GIN,Guinea,,6600 [4800‰ÛÒ8900],6600,4800,8900,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,GNB,Guinea-Bissau,,2600 [2100‰ÛÒ3100],2600,2100,3100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,GUY,Guyana,,<500 [<500‰ÛÒ530],500,500,530,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,HTI,Haiti,,7300 [5400‰ÛÒ11 000],7300,5400,11000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,HND,Honduras,,800 [<500‰ÛÒ1100],800,500,1100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,HUN,Hungary,,<500 [<200‰ÛÒ<500],500,200,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ISL,Iceland,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,India,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IDN,Indonesia,,46 000 [42 000‰ÛÒ50 000],46000,42000,50000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,IRN,Iran (Islamic Republic of),,4400 [1100‰ÛÒ12 000],4400,1100,12000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,IRL,Ireland,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ISR,Israel,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,ITA,Italy,,3100 [2400‰ÛÒ3600],3100,2400,3600,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,JAM,Jamaica,,2400 [1900‰ÛÒ2900],2400,1900,2900,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,JPN,Japan,,1200 [910‰ÛÒ1500],1200,910,1500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,JOR,Jordan,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,KAZ,Kazakhstan,,2600 [2500‰ÛÒ2700],2600,2500,2700,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,KEN,Kenya,,46 000 [27 000‰ÛÒ78 000],46000,27000,78000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,KWT,Kuwait,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,KGZ,Kyrgyzstan,,570 [<500‰ÛÒ970],570,500,970,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,LAO,Lao People's Democratic Republic,,570 [510‰ÛÒ630],570,510,630,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,LVA,Latvia,,<500 [<500‰ÛÒ<500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,LBN,Lebanon,,<200 [<200‰ÛÒ<200],200,200,200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,LSO,Lesotho,,13 000 [11 000‰ÛÒ15 000],13000,11000,15000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,LBR,Liberia,,1900 [1800‰ÛÒ2000],1900,1800,2000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,LBY,Libya,,<500 [<500‰ÛÒ500],500,500,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,LTU,Lithuania,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,LUX,Luxembourg,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MDG,Madagascar,,6100 [3800‰ÛÒ11 000],6100,3800,11000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MWI,Malawi,,38 000 [33 000‰ÛÒ45 000],38000,33000,45000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,MYS,Malaysia,,5600 [5100‰ÛÒ6100],5600,5100,6100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,MDV,Maldives,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MLI,Mali,,14 000 [11 000‰ÛÒ20 000],14000,11000,20000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,MLT,Malta,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MRT,Mauritania,,<200 [<100‰ÛÒ<500],200,100,500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MUS,Mauritius,,910 [560‰ÛÒ1300],910,560,1300,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,MEX,Mexico,,11 000 [7600‰ÛÒ14 000],11000,7600,14000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,MNG,Mongolia,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,MNE,Montenegro,,<100 [<100‰ÛÒ<100],100,100,100,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EMR,Eastern Mediterranean,,MAR,Morocco,,900 [620‰ÛÒ1400],900,620,1400,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,MOZ,Mozambique,,150 000 [90 000‰ÛÒ220 000],150000,90000,220000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,MMR,Myanmar,,11 000 [9500‰ÛÒ12 000],11000,9500,12000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,NAM,Namibia,,6100 [5200‰ÛÒ7000],6100,5200,7000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,NPL,Nepal,,900 [800‰ÛÒ980],900,800,980,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,NLD,Netherlands,,No data,,,,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,WPR,Western Pacific,,NZL,New Zealand,,<200 [<200‰ÛÒ<200],200,200,200,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AMR,Americas,,NIC,Nicaragua,,<500 [<500‰ÛÒ620],500,500,620,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,NER,Niger,,1700 [1200‰ÛÒ2500],1700,1200,2500,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,AFR,Africa,,NGA,Nigeria,,130 000 [77 000‰ÛÒ200 000],130000,77000,200000,,,
HIV_0000000026,Number of new HIV infections,https://www.who.int/uat-portal/indicator-metadata-registry/imr-details/4659,PUBLISHED,Published,,2018,2018,,EUR,Europe,,NOR,Norway,,<200 [<200‰ÛÒ<200],200,200,200,,,
