iso_alpha3,country_name,d_event,d_year,d_total,l_event,l_year,l_total,n_event,n_total
CYP,Cyprus,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
CZE,Czechia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,4400,Number of new HIV infections,500
DEU,Germany,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,87000,Number of new HIV infections,2600
DJI,Djibouti,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,8800,Number of new HIV infections,540
DNK,Denmark,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,6200,Number of new HIV infections,200
DOM,Dominican Republic,Number of deaths due to HIV/AIDS,2018,1200,Estimated number of people (all ages) living with HIV,2018,70000,Number of new HIV infections,2700
DZA,Algeria,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,16000,Number of new HIV infections,1300
ECU,Ecuador,Number of deaths due to HIV/AIDS,2018,620,Estimated number of people (all ages) living with HIV,2018,44000,Number of new HIV infections,2200
EGY,Egypt,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,22000,Number of new HIV infections,3600
ERI,Eritrea,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,18000,Number of new HIV infections,580
ESP,Spain,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,150000,Number of new HIV infections,3100
EST,Estonia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,7400,Number of new HIV infections,500
ETH,Ethiopia,Number of deaths due to HIV/AIDS,2018,11000,Estimated number of people (all ages) living with HIV,2018,690000,Number of new HIV infections,23000
FIN,Finland,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,4000,Number of new HIV infections,500
FJI,Fiji,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
FRA,France,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,180000,Number of new HIV infections,6200
GAB,Gabon,Number of deaths due to HIV/AIDS,2018,1200,Estimated number of people (all ages) living with HIV,2018,53000,Number of new HIV infections,2000
GBR,United Kingdom of Great Britain and Northern Ireland,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
GEO,Georgia,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,9400,Number of new HIV infections,710
GHA,Ghana,Number of deaths due to HIV/AIDS,2018,14000,Estimated number of people (all ages) living with HIV,2018,330000,Number of new HIV infections,20000
GIN,Guinea,Number of deaths due to HIV/AIDS,2018,4300,Estimated number of people (all ages) living with HIV,2018,120000,Number of new HIV infections,6600
GMB,Gambia,Number of deaths due to HIV/AIDS,2018,980,Estimated number of people (all ages) living with HIV,2018,26000,Number of new HIV infections,2200
GNB,Guinea-Bissau,Number of deaths due to HIV/AIDS,2018,1800,Estimated number of people (all ages) living with HIV,2018,44000,Number of new HIV infections,2600
GNQ,Equatorial Guinea,Number of deaths due to HIV/AIDS,2018,1800,Estimated number of people (all ages) living with HIV,2018,62000,Number of new HIV infections,5100
GRC,Greece,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
GTM,Guatemala,Number of deaths due to HIV/AIDS,2018,2200,Estimated number of people (all ages) living with HIV,2018,47000,Number of new HIV infections,2300
GUY,Guyana,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,8200,Number of new HIV infections,500
HND,Honduras,Number of deaths due to HIV/AIDS,2018,780,Estimated number of people (all ages) living with HIV,2018,23000,Number of new HIV infections,800
HRV,Croatia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,1600,Number of new HIV infections,100
HTI,Haiti,Number of deaths due to HIV/AIDS,2018,2700,Estimated number of people (all ages) living with HIV,2018,160000,Number of new HIV infections,7300
HUN,Hungary,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3700,Number of new HIV infections,500
IDN,Indonesia,Number of deaths due to HIV/AIDS,2018,38000,Estimated number of people (all ages) living with HIV,2018,640000,Number of new HIV infections,46000
IND,India,Number of deaths due to HIV/AIDS,2018,67000,Estimated number of people (all ages) living with HIV,2018,2170000,Number of new HIV infections,
IRL,Ireland,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,7200,Number of new HIV infections,500
IRN,Iran (Islamic Republic of),Number of deaths due to HIV/AIDS,2018,2600,Estimated number of people (all ages) living with HIV,2018,61000,Number of new HIV infections,4400
ISL,Iceland,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,100
ISR,Israel,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,9000,Number of new HIV infections,500
ITA,Italy,Number of deaths due to HIV/AIDS,2018,710,Estimated number of people (all ages) living with HIV,2018,130000,Number of new HIV infections,3100
JAM,Jamaica,Number of deaths due to HIV/AIDS,2018,1500,Estimated number of people (all ages) living with HIV,2018,40000,Number of new HIV infections,2400
JOR,Jordan,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,100
JPN,Japan,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,30000,Number of new HIV infections,1200
KAZ,Kazakhstan,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,26000,Number of new HIV infections,2600
KEN,Kenya,Number of deaths due to HIV/AIDS,2018,25000,Estimated number of people (all ages) living with HIV,2018,1600000,Number of new HIV infections,46000
KGZ,Kyrgyzstan,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,8500,Number of new HIV infections,570
KHM,Cambodia,Number of deaths due to HIV/AIDS,2018,1300,Estimated number of people (all ages) living with HIV,2018,73000,Number of new HIV infections,880
KOR,Republic of Korea,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
KWT,Kuwait,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,640,Number of new HIV infections,100
LAO,Lao People's Democratic Republic,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,12000,Number of new HIV infections,570
LBN,Lebanon,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,2500,Number of new HIV infections,200
LBR,Liberia,Number of deaths due to HIV/AIDS,2018,1800,Estimated number of people (all ages) living with HIV,2018,39000,Number of new HIV infections,1900
LBY,Libya,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,9200,Number of new HIV infections,500
LKA,Sri Lanka,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,3500,Number of new HIV infections,200
LSO,Lesotho,Number of deaths due to HIV/AIDS,2018,6100,Estimated number of people (all ages) living with HIV,2018,340000,Number of new HIV infections,13000
LTU,Lithuania,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,2900,Number of new HIV infections,
LUX,Luxembourg,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,1200,Number of new HIV infections,100
LVA,Latvia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,5300,Number of new HIV infections,500
MAR,Morocco,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,21000,Number of new HIV infections,900
MDA,Republic of Moldova,Number of deaths due to HIV/AIDS,2018,570,Estimated number of people (all ages) living with HIV,2018,17000,Number of new HIV infections,1000
MDG,Madagascar,Number of deaths due to HIV/AIDS,2018,1700,Estimated number of people (all ages) living with HIV,2018,39000,Number of new HIV infections,6100
MDV,Maldives,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
MEX,Mexico,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,230000,Number of new HIV infections,11000
MKD,Republic of North Macedonia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,100
MLI,Mali,Number of deaths due to HIV/AIDS,2018,6500,Estimated number of people (all ages) living with HIV,2018,150000,Number of new HIV infections,14000
MLT,Malta,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
MMR,Myanmar,Number of deaths due to HIV/AIDS,2018,7800,Estimated number of people (all ages) living with HIV,2018,240000,Number of new HIV infections,11000
MNE,Montenegro,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,221,Number of new HIV infections,100
MNG,Mongolia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,600,Number of new HIV infections,100
MOZ,Mozambique,Number of deaths due to HIV/AIDS,2018,54000,Estimated number of people (all ages) living with HIV,2018,2200000,Number of new HIV infections,150000
MRT,Mauritania,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,5600,Number of new HIV infections,200
MUS,Mauritius,Number of deaths due to HIV/AIDS,2018,610,Estimated number of people (all ages) living with HIV,2018,13000,Number of new HIV infections,910
MWI,Malawi,Number of deaths due to HIV/AIDS,2018,13000,Estimated number of people (all ages) living with HIV,2018,1000000,Number of new HIV infections,38000
MYS,Malaysia,Number of deaths due to HIV/AIDS,2018,2600,Estimated number of people (all ages) living with HIV,2018,87000,Number of new HIV infections,5600
NAM,Namibia,Number of deaths due to HIV/AIDS,2018,2700,Estimated number of people (all ages) living with HIV,2018,200000,Number of new HIV infections,6100
NER,Niger,Number of deaths due to HIV/AIDS,2018,1200,Estimated number of people (all ages) living with HIV,2018,36000,Number of new HIV infections,1700
NGA,Nigeria,Number of deaths due to HIV/AIDS,2018,53000,Estimated number of people (all ages) living with HIV,2018,1900000,Number of new HIV infections,130000
NIC,Nicaragua,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,9400,Number of new HIV infections,500
NLD,Netherlands,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,23000,Number of new HIV infections,
NOR,Norway,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,5800,Number of new HIV infections,200
NPL,Nepal,Number of deaths due to HIV/AIDS,2018,910,Estimated number of people (all ages) living with HIV,2018,30000,Number of new HIV infections,900
NZL,New Zealand,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3600,Number of new HIV infections,200
OMN,Oman,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3200,Number of new HIV infections,500
PAK,Pakistan,Number of deaths due to HIV/AIDS,2018,6400,Estimated number of people (all ages) living with HIV,2018,160000,Number of new HIV infections,22000
PAN,Panama,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,26000,Number of new HIV infections,1300
PER,Peru,Number of deaths due to HIV/AIDS,2018,1000,Estimated number of people (all ages) living with HIV,2018,79000,Number of new HIV infections,3300
PHL,Philippines,Number of deaths due to HIV/AIDS,2018,1200,Estimated number of people (all ages) living with HIV,2018,77000,Number of new HIV infections,13000
PNG,Papua New Guinea,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,45000,Number of new HIV infections,2100
POL,Poland,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,1500
PRK,Democratic People's Republic of Korea,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
PRT,Portugal,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,41000,Number of new HIV infections,740
PRY,Paraguay,Number of deaths due to HIV/AIDS,2018,720,Estimated number of people (all ages) living with HIV,2018,21000,Number of new HIV infections,1100
QAT,Qatar,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
ROU,Romania,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,18000,Number of new HIV infections,790
RUS,Russian Federation,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
RWA,Rwanda,Number of deaths due to HIV/AIDS,2018,2900,Estimated number of people (all ages) living with HIV,2018,220000,Number of new HIV infections,3600
SAU,Saudi Arabia,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,8200,Number of new HIV infections,
SDN,Sudan,Number of deaths due to HIV/AIDS,2018,2900,Estimated number of people (all ages) living with HIV,2018,59000,Number of new HIV infections,5200
SEN,Senegal,Number of deaths due to HIV/AIDS,2018,1300,Estimated number of people (all ages) living with HIV,2018,42000,Number of new HIV infections,1300
SGP,Singapore,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,7900,Number of new HIV infections,200
SLE,Sierra Leone,Number of deaths due to HIV/AIDS,2018,2100,Estimated number of people (all ages) living with HIV,2018,70000,Number of new HIV infections,4100
SLV,El Salvador,Number of deaths due to HIV/AIDS,2018,700,Estimated number of people (all ages) living with HIV,2018,25000,Number of new HIV infections,700
SOM,Somalia,Number of deaths due to HIV/AIDS,2018,710,Estimated number of people (all ages) living with HIV,2018,11000,Number of new HIV infections,500
SRB,Serbia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,3000,Number of new HIV infections,500
SSD,South Sudan,Number of deaths due to HIV/AIDS,2018,9900,Estimated number of people (all ages) living with HIV,2018,190000,Number of new HIV infections,19000
SUR,Suriname,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,5600,Number of new HIV infections,500
SVK,Slovakia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,1200,Number of new HIV infections,200
SVN,Slovenia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,100
SWE,Sweden,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
SWZ,Eswatini,Number of deaths due to HIV/AIDS,2018,2400,Estimated number of people (all ages) living with HIV,2018,210000,Number of new HIV infections,7800
SYR,Syrian Arab Republic,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,660,Number of new HIV infections,100
TCD,Chad,Number of deaths due to HIV/AIDS,2018,3100,Estimated number of people (all ages) living with HIV,2018,120000,Number of new HIV infections,6500
TGO,Togo,Number of deaths due to HIV/AIDS,2018,3800,Estimated number of people (all ages) living with HIV,2018,110000,Number of new HIV infections,5000
THA,Thailand,Number of deaths due to HIV/AIDS,2018,18000,Estimated number of people (all ages) living with HIV,2018,480000,Number of new HIV infections,6400
TJK,Tajikistan,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,13000,Number of new HIV infections,840
TKM,Turkmenistan,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
TLS,Timor-Leste,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
TTO,Trinidad and Tobago,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
TUN,Tunisia,Number of deaths due to HIV/AIDS,2018,100,Estimated number of people (all ages) living with HIV,2018,2800,Number of new HIV infections,500
TUR,Turkey,Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,,Number of new HIV infections,
TZA,United Republic of Tanzania,Number of deaths due to HIV/AIDS,2018,24000,Estimated number of people (all ages) living with HIV,2018,1600000,Number of new HIV infections,72000
UGA,Uganda,Number of deaths due to HIV/AIDS,2018,23000,Estimated number of people (all ages) living with HIV,2018,1400000,Number of new HIV infections,53000
UKR,Ukraine,Number of deaths due to HIV/AIDS,2018,6100,Estimated number of people (all ages) living with HIV,2018,240000,Number of new HIV infections,12000
URY,Uruguay,Number of deaths due to HIV/AIDS,2018,200,Estimated number of people (all ages) living with HIV,2018,14000,Number of new HIV infections,890
USA,United States of America,Number of deaths due to HIV/AIDS,2018,15807,Estimated number of people (all ages) living with HIV,2018,1122900,Number of new HIV infections,38640
UZB,Uzbekistan,Number of deaths due to HIV/AIDS,2018,1300,Estimated number of people (all ages) living with HIV,2018,52000,Number of new HIV infections,5400
VEN,Venezuela (Bolivarian Republic of),Number of deaths due to HIV/AIDS,2018,,Estimated number of people (all ages) living with HIV,2018,120000,Number of new HIV infections,
VNM,Viet Nam,Number of deaths due to HIV/AIDS,2018,4700,Estimated number of people (all ages) living with HIV,2018,230000,Number of new HIV infections,5700
YEM,Yemen,Number of deaths due to HIV/AIDS,2018,500,Estimated number of people (all ages) living with HIV,2018,11000,Number of new HIV infections,1100
ZAF,South Africa,Number of deaths due to HIV/AIDS,2018,71000,Estimated number of people (all ages) living with HIV,2018,7700000,Number of new HIV infections,240000
ZMB,Zambia,Number of deaths due to HIV/AIDS,2018,17000,Estimated number of people (all ages) living with HIV,2018,1200000,Number of new HIV infections,48000
ZWE,Zimbabwe,Number of deaths due to HIV/AIDS,2018,22000,Estimated number of people (all ages) living with HIV,2018,1300000,Number of new HIV infections,38000
